FirstName,Gender,FatherLastName,FatherFirstName,MotherLastName,FatherOccupation,MotherOccupation,DateofBirth,MotherFirstName,LastName,Occupation
Edward,M,FINLAY,James,WESTERN,clothier,printers machine ruler,1735-02-24,Marion,FINLAY,furnace tenter
Thomas,M,HONES,Alexander,CONNELL,butcher,shop assistant,1737-07-26,Therese,HONES,woollen twister
Lillias,F,HUGHES,James,SAMBROOK,cottager,boot and shoe maker,1740-10-23,Agnes,HUGHES,jeweller and watchmaker
James,M,JEPSON,Samuel,ADDIS,carter,miner,1739-07-17,Janet,JEPSON,electrician
Alexander,M,BERRY,Alexander,HAHICK,farm labourer,stone mason,1732-12-05,Gorgenia,BERRY,"store keeper, south indian railway"
Donald,M,GREEN,William,BELL,fustian cutter,cafe proprietor,1745-06-29,Marion,GREEN,lab
Robert,M,BACKHOUSE,Thomas,DAVIDSON,ag lab,"assistant secretary, museum",1735-11-19,Jane,BACKHOUSE,coal miner
Eliza,F,GRAY,William,SHANKS,colliery checkweighman,servant,1734-09-17,Jane,GRAY,furniture removal man
William,M,GREIG,Thomas,SMITH,whitefisher,lab,1741-05-09,Sohia,GREIG,engineer
Margaret,F,SNOOK,Alexr,THOMAS,mercantile clerk,bootcloser,1732-03-10,Margaret,SNOOK,building contractor
Cather,F,DERBY,Hugh,BALDWIN,stonemason,dressmaker,1746-05-08,Isabella,DERBY,servant
Peter,M,ASHFORD,Allan,PIERCE,refreshment contractor,labourer,1736-05-28,Maggie,ASHFORD,clerk (board of trade )
Christian,F,HAWKEN,Alexander,BENNETT,domestic servant (parlourmaid),colliery engineer,1735-09-09,Catharine,HAWKEN,mason
Martha,F,TAYLOR,William,EVANS,officer of customs & excise (docks),mechanical engineering worker (skilled),1733-09-23,Isabella,TAYLOR,lab
Cathrine,F,ASTILE,Daniel,WEST,labourer,carpenter,1738-06-28,Agnes,ASTILE,railway labourer
Isabella,F,HERNE,John,JONES,farmer,tanner,1734-07-25,Elizabeth,HERNE,labourer
George,M,LANGLEY,James,CRACKRICH,stonecutter,customs officer,1736-09-02,Jemima,LANGLEY,limestone miner
George,M,WALLER,Robert,SMITH,hawker,farmer,1736-04-13,Caloline,WALLER,ag lab
Wm,M,SKEAD,Alexander,PEPPERELL,tailor,broker,1735-08-04,Helen,SKEAD,labourer
John,M,STEPHENS,Wm,KNOW,riding master,secretary,1735-10-15,Janet,STEPHENS,wheelwright
Jane,F,SPENCE,David,MANNING,provision dealer,bootmaker,1736-09-13,Margaret,SPENCE,servant
Agnes,F,SPENCE,David,MANNING,provision dealer,bootmaker,1736-09-13,Margaret,SPENCE,shoemaker
John,M,MCDERMID,James,SMITH,dentists assistant,husbandman,1736-06-10,Janet,MCDERMID,labourer
James,M,MORRIS,John,MILLER,farmer,school attendance officer,1736-05-23,Margaret,MORRIS,pub owner
Elizabeth,F,WINTERBOTTOM,John,GRIFFIN,chairmaker,coach proprietor,1740-01-10,Jean,WINTERBOTTOM,gamekeeper
John,M,MAKEPIECE,George,HUMBLE,dressmaker,bricklayer,1738-12-10,Eliza,MAKEPIECE,carpenter
Margaret,F,MAHER,William,BAXENDALL,ironmonger,machine maker,1737-07-09,Marion,MAHER,domestic coachman
Mary,F,MAHER,William,BAXENDALL,ironmonger,machine maker,1737-07-09,Marion,MAHER,hawker of pottery
Mary,F,LORD,George,BAKER,photographer,manufacturer,1737-01-07,Susan,LORD,"musician, coldstream guards"
Catherine,F,CORNER,Donald,SCHOLES,chargehand/foreman,bootmaker,1742-03-08,Marion,CORNER,coachman
Annie,F,THOMAS,Samuel,GREENAWAY,landowner,nurseryman,1734-10-08,Christina,THOMAS,joiner
James,M,MCNEILL,Robert,DOWLING,farmer,carpenter,1741-05-04,Catherine,MCNEILL,licensed victualler
Isabella,F,FOURACRE,John,MALPAS,shopkeeper,weaver,1738-01-08,Margaret,FOURACRE,printers compositor
Isabella,F,BAKER,William,HALL,cordwainer,ag lab,1738-12-16,Elizebath,BAKER,brickmaker
Mary,F,DAVIES,James,RAY,meal miller,welder,1736-03-26,Jessie,DAVIES,slate merchant
Bella,F,HILL,John,HOWEL,chainmaker,boilermaker,1741-10-16,Mary,HILL,iron moulder
Murray,M,EKINS,Robert,WALKER,mason,farmer,1735-12-16,Hannah,EKINS,domestic servant
John,M,EKINS,Robert,WALKER,mason,farmer,1735-12-16,Hannah,EKINS,brickmaker
Sarah,F,HARRIS,John,MUDD,accountant,printer,1737-10-27,Elisabeth,HARRIS,"army musician,"
Agnes,F,BOND,Alexander,HOLDSWORTH,clerk of cheque of ordnance,basket maker,1738-05-23,Margaret,BOND,carpenter
William,M,HICKS,George,COCK,gardener,servant,1739-01-03,Lousia,HICKS,bootmaker
Elizabeth,F,BROWN,James,TILLE,bricklayer,labourer,1735-06-04,Matilda,BROWN,gardener
George,M,JENNINGS,James,BOND,engineer,ships officer,1735-11-25,Catherine,JENNINGS,farmer
Alexander,M,LINESLEY,Alexander,SIMPKIN,engineer,farmer,1749-02-26,Mary,LINESLEY,servant
George,M,CLARKE,Willia,HARRIS,relief stamper,farm manager,1737-07-15,Maggie,CLARKE,operative chemist
Alexander,M,THYME,James,BIRD,millwright,mechanical engineer,1745-12-09,Agnes,THYME,ag lab
Margaret,F,THYME,James,BIRD,millwright,mechanical engineer,1745-12-09,Agnes,THYME,gardener
Eliza,F,SUNDERLAND,Alexander,FRESHWATER,farm lab,brass moulder,1736-02-16,Margaret,SUNDERLAND,caulker
Alexander,M,PALMER,William,MCKECHNIE,ag lab,yeoman,1743-08-24,Barbara,PALMER,"secretary, electricity board office"
Patrick,M,CRIMER,Robt,COOPER,carpet weaver,labourer,1735-03-28,Jane,CRIMER,undertaker
Alexander,M,JONES,John,MACHRAY,labourer,printer,1735-04-01,Jane,JONES,baker
Daniel,M,ROBINSON,James,STONE,shoemaker,coal miner,1742-03-01,Annie,ROBINSON,"officer, swiss army"
Elizabeth,F,HAZELDINE,Robert,HALFPENNY,woollen manufacturer,farmer and grazier,1745-11-16,Bridget,HAZELDINE,farm labourer
Charles,M,ELLIS,Willm,WHITEHOUSE,butcher,carter,1735-07-20,Edith,ELLIS,weaver
Mary,F,SAUNDERSON,William,WETHERELL,mariner,farm labourer,1736-03-21,Mary,SAUNDERSON,blacksmith
George,M,PEARCE,Anthony,CURD,paper merchant,silk dyer,1737-10-20,Isabella,PEARCE,sheriffs officer
Alexr,M,LYONS,Edward,NOTT,chemist and druggist,builder,1739-05-29,Susanah,LYONS,steel foundry moulder
Thomas,M,CHADWICH,Charles,JONES,engineer,cabinet maker,1737-01-25,Maggie,CHADWICH,refreshment contractor
Robert,M,CHADWICH,Charles,JONES,engineer,cabinet maker,1737-01-25,Maggie,CHADWICH,cattle spice manufacturer
Jane,F,BIRD,William,BATH,ag lab,poultry man,1736-03-29,Julia,BIRD,clerk
William,M,BEWSHER,Robert,BARRY,lab,gardener,1740-05-11,Mary,BEWSHER,farmer
Christina,F,STEDMAN,David,HART,coal miner,cutter,1738-01-03,Helen,STEDMAN,clerk with soft drinks firm
Margaret,F,BROWN,James,GOODMAN,clerk  (biscuit works ),school master,1741-07-21,Mary,BROWN,boot maker
Mary,F,KEARSLEY,Archibald,DOW,grocer,labourer,1738-11-20,Ann,KEARSLEY,shepherd
Margret,F,SNOOK,Alexr,THOMAS,mercantile clerk,bootcloser,1737-09-29,Margaret,SNOOK,cordwainer
Daniel,M,COULSON,David,GRUNDY,labourer,salvation army officer,1739-08-01,Agnes,COULSON,builders clerk
Robert,M,WILSON,Alexander,STEWART,silk winder,pharmaceutical chemist,1736-07-03,Cecilia,WILSON,launderer
Fred,M,CROSSGROVE,Robert,WATSON,general store keeper,farm lab,1737-02-26,Margaret,CROSSGROVE,carriage examiner
Jean,F,PETERS,Caldwell,NORTH,farmer,boiler maker,1738-10-28,Maggie,PETERS,farm bailiff
Thomas,M,BAMSEY,John,LARKIN,labourer,carpenter,1737-06-22,Catherine,BAMSEY,chainmaker
Betsy,F,MORTIMER,John,LYNALL,telephone engineer - g.p.o.,dressmaker,1736-11-20,Elizth,MORTIMER,miller
Andrew,M,LAMB,Thomas,GULLY,wool mill worker,servant,1738-06-23,Margaret,LAMB,cowman
Mary,F,GIBB,Francis,SINCLAIR,tailoress,bookbinder,1739-10-21,Margaret,GIBB,lab
Isabella,F,EDWARD,Samuel,DAWSON,farmer,"builder, master (dockyards)",1735-12-27,Helen,EDWARD,typist for solicitor
James,M,EDWARD,Samuel,DAWSON,farmer,"builder, master (dockyards)",1735-12-27,Helen,EDWARD,smith
William,M,MOORE,Thomas,MANN,tailor,tanner,1736-04-22,Ketty,MOORE,housekeeper
Christina,F,KENNETT,Robert,SHAW,foreman fire service,lab,1737-05-30,Janet,KENNETT,bread baker
John,M,HOLLINGDALE,George,PEARTON,farmer,coal merchant,1737-05-09,Mary,HOLLINGDALE,clerk in holy orders
Robert,M,RALPH,David,ALLISON,postboy,tailor,1738-11-22,Elizabeth,RALPH,waterman
Frank,M,KIDNEY,Peter,ADAMS,builder,labourer,1741-11-03,Marion,KIDNEY,blacksmith
John,M,DUNN,William,BROWN,miller,engineer,1737-11-01,Betsy,DUNN,skinner & tanner
Wm,M,TUSTIN,Robert,DUPLOCK,ag lab,farrier,1738-07-08,Martha,TUSTIN,policeman
Isabella,F,SPIRES,John,GRINDROD,tailor,labourer,1736-05-26,Joann,SPIRES,stonemason
Elizabeth,F,HEATLEY,Archbald,SUTCLIFFE,head brewer,commercial traveller,1738-03-28,Harriet,HEATLEY,butcher
Charles,M,CARTWRIGHT,William,RAE,carpet weaver,cheesemonger,1736-11-15,Elizabeth,CARTWRIGHT,gardener
Andrew,M,BROWNE,Charles,RILEY,farmer,bookbinder,1739-11-26,Catherine,BROWNE,shop assistant
Jane,F,SERGEANT,Charles,LLOYD,ag lab,carpenter,1737-03-03,Jeanie,SERGEANT,engineer
Elizabeth,F,JOHNSTON,Alexander,WOOD,civil engineer,mariner,1736-02-09,Mary,JOHNSTON,miner
Thomas,M,CURTIS,Peter,FORBES,carter,mechanic,1740-11-03,Mary,CURTIS,grocer
William,M,WRIGHT,Andrew,MARLES,blacksmith,engineer,1741-11-28,Janet,WRIGHT,farmer
Joanna,F,HOPGOOD,George,BUCK,timber dealer,medical practitioner,1739-04-26,Catherine,HOPGOOD,maltmakers lab
Jane,F,DAVIDSON,John,TODD,farmer,butcher,1736-06-21,Adaline,DAVIDSON,weaver
Robert,M,ANDERSON,Patrick,MOON,farmer,police constable,1738-10-21,Ann,ANDERSON,master mason
Ellen,F,BRIDDON,William,BARKER,tailor,civil engineer,1737-06-06,Elizabeth,BRIDDON,winder
Thomas,M,HOLLAND,Willia,MAGRATH,lt rn,stone cutter,1738-08-02,Agnes,HOLLAND,farmer
Mary,F,HOLLAND,Willia,MAGRATH,lt rn,stone cutter,1738-08-02,Agnes,HOLLAND,farmer
Margaret,F,STONE,Thomas,MORGANS,cloth finisher,delver,1734-09-16,Elizabeth,STONE,pattern maker
John,M,CAMERON,Charles,TAYLOR,coachman,tailor,1738-01-17,Sarah,CAMERON,delver
Alexander,M,LINNELL,Angus,ROBERTS,navel officer,fish curer,1741-03-13,Margaret,LINNELL,auctioneer's clerk
Margaret,F,LINNELL,Angus,ROBERTS,navel officer,fish curer,1741-03-13,Margaret,LINNELL,company director
John,M,WOODHOUSE,James,MORRISON,woollen draper,smith,1735-10-06,Margaret,WOODHOUSE,paymaster of royal artillery
Agnes,F,GOUNDRY,Willia,RUSBY,fireman,needlemaker,1736-12-13,Margaret,GOUNDRY,stonecutter
John,M,BURT,John,HUNTER,currier,file cutter,1737-01-16,Georgina,BURT,draughstman
Euphemia,F,BERRY,Alexander,HAHICK,farm labourer,stone mason,1739-06-28,Gorgenia,BERRY,tobacconist
Rosanna,F,DOWN,George,SHOOTER,printer,tanner,1741-11-07,Mary,DOWN,farm bailiff
David,M,HONEYWELL,William,STREMBELS,miller (postmill),engineer,1736-11-09,Jessie,HONEYWELL,farmer
Mary,F,BENN,Charles,HOWARTH,domestic servant,farm labourer,1737-07-23,Jane,BENN,cabinet maker
James,M,BOWMAN,Hugh,TREDWIN,draper,clerk,1735-06-05,Jane,BOWMAN,labourer
Thomas,M,DYER,David,ANDERSON,painter,vinegar merchant,1738-04-09,Alice,DYER,farmer
John,M,RICHARDSON,Alexander,CULL,servant,mechanic,1736-10-16,Margaret,RICHARDSON,station master
Jane,F,WALMSLEY,John,LOOD,research chemist,mason,1738-06-05,Margt,WALMSLEY,coal merchant
George,M,READ,George,AYERS,washerwoman,musician,1737-11-25,Janet,READ,worsted spinner (master)
Elizabeth,F,RICH,Peter,MOWAT,gasfitter,gun maker,1743-06-28,Jane,RICH,farmer
Samuel,M,HILL,James,SPRINGETT,"superintendant, port of london authority",labourer,1739-04-02,Maggie,HILL,coal miner
Margaret,F,MILWERT,James,WATT,labourer,hatter,1736-06-27,Jane,MILWERT,joiner
Isabella,F,HARDY,William,WHEELDON,lab,baker,1739-04-04,Isabella,HARDY,wool packer
Eliza,F,STUBBING,John,WRIGHT,model maker,woollen mill worker,1744-05-05,Elizabeth,STUBBING,gamekeeper
Mary,F,WARREN,John,MCPHERSON,bailiff,lab,1738-03-15,Margaret,WARREN,farmer
John,M,CLARK,Patrick,SLITH,farmer,"clerk, railway works",1736-04-08,Elizabeth,CLARK,plasterer
John,M,NICHOLAS,John,LEVINAY,cabinet maker,teacher,1735-03-12,Elizabeth,NICHOLAS,fisherman
Isobel,F,NICHOLAS,John,LEVINAY,cabinet maker,teacher,1735-03-12,Elizabeth,NICHOLAS,collier
Jenny,F,YATES,William,ENNEFER,chairmaker,carpenter,1739-09-21,Christina,YATES,veterinary surgeon
William,M,DUNCAN,Andrew,THOM,weaver,tailoress,1742-04-13,Janet,DUNCAN,thatcher
Alister,M,WATSON,Alfred,PRIMROSE,farmer,coal dealer,1740-03-04,Margret,WATSON,lab
Mary,F,TAYLOR,William,EVANS,officer of customs & excise (docks),mechanical engineering worker (skilled),1736-08-22,Isabella,TAYLOR,weaver
Hellen,F,ANDREWS,David,FORMAN,railway inspector,pattern maker,1737-04-27,Agnes,ANDREWS,labourer
Donald,M,THOMPSON,Jas,HISCOCKS,butcher,shear striker,1737-05-30,Elizabeth,THOMPSON,shipowner
Margaret,F,JOHNSON,John,FURRELL,wool broker,electrical engineer in the royal signals,1740-10-26,Margaret,JOHNSON,butcher
Robert,M,BOLAND,James,LEES,blacksmith,master mariner,1739-05-02,Agnes,BOLAND,farmer
James,M,MAWSON,James,CAMERON,cotton operative,lab,1741-04-21,Janet,MAWSON,domestic servant
Margaret,F,LOCH,Alfred,MCMILLAN,steam roller driver,miller,1737-12-13,Annie,LOCH,watchmaker
Samuel,M,SHAW,Henry,MCKITTON,engineer,medical practitioner,1742-08-15,Margaret,SHAW,baker & grocer
Alexander,M,LONDON,John,PASSMORE,farmer,map and print colourer,1740-11-21,Ann,LONDON,lab
David,M,RACKHAM,Alexander,WALLACE,shoemaker,plasterer,1742-05-07,Janet,RACKHAM,gardener
Janet,F,RACKHAM,Alexander,WALLACE,shoemaker,plasterer,1742-05-07,Janet,RACKHAM,domestic servant
Helen,F,THOMAS,Matthew,GILL,farmer,domestic servant,1737-10-11,Margaret,THOMAS,servant
Alexander,M,HODGSON,Robert,MCCALLUM,labourer,cigarette maker,1746-06-19,Jessie,HODGSON,school master
Elizabeth,F,GILMOUR,William,ALLEN,scrap labourer,railway clerk,1741-03-22,Isabella,GILMOUR,wheelwright
John,M,GILMOUR,William,ALLEN,scrap labourer,railway clerk,1741-03-22,Isabella,GILMOUR,builder
Donald,M,SIMPSON,James,GRIFFIN,musician,boatman,1741-10-17,Marion,SIMPSON,milliner
Mary,F,SHARPE,James,HANEND,baker,co-op manager,1737-06-13,Margt,SHARPE,bank clerk
Jane,F,DARVILL,William,LINELY,baker,potter,1744-12-26,Jessie,DARVILL,stillroom maid
Dougall,M,PLATT,Alexander,RANSON,house servant,stitcher,1742-12-09,Ann,PLATT,farmer
James,M,POTTER,Robert,WALLS,paper maker,spinner,1742-10-07,Mary,POTTER,furnaceman
Elizabeth,F,BOLLANY,Arthur,CARESWELL,lamplighter,potter,1741-11-14,Sarah,BOLLANY,farmer
John,M,BROWN,John,LEES,lab,horsekeeper,1745-04-04,Mary,BROWN,labourer
Charles,M,GRETTON,Andrew,FERDINAND,shepherd,blacksmith,1740-08-22,Helen,GRETTON,master mariner
Alfred,M,GRIMSHAW,James,LIVINGSTON,blacksmith,shoemaker,1745-10-15,Janet,GRIMSHAW,labourer
George,M,LIFTON,James,HOLLIWELL,gilder,carpenter,1736-08-19,Margaret,LIFTON,butcher
William,M,JANE,Thomas,PEPPER,gas fitter,farmer,1738-06-26,Janet,JANE,school mistress
Jane,F,DISCOMBE,Colin,HILL,water filter manufacturer,truck farmer,1739-08-13,Agnes,DISCOMBE,domestic servant
Jessie,F,VAIL,Andrew,JONES,dockyard worker,shoe binder,1740-10-30,Mary,VAIL,farmer (smallholder)
James,M,FRASER,Duncan,STANDLEY,bootmaker,worsted power loom weaver,1739-10-26,Isabella,FRASER,admiralty packer
Williammina,F,HARPER,John,SAGE,farm lab,farmer,1737-09-22,Mary,HARPER,cabinet maker
Mary,F,GOODWIN,John,MEADS,pattern dyer,warp dresser,1743-01-13,Mary,GOODWIN,asbestos spinner
Catherine,F,PAINE,Edward,LOWSON,ag lab,seamstress,1739-03-12,Ellen,PAINE,paymaster of royal artillery
James,M,PAINE,Edward,LOWSON,ag lab,seamstress,1739-03-12,Ellen,PAINE,labourer
Margaret,F,LARCOMBE,Alex,ROSS,master merchant mariner,farm bailiff,1736-11-18,Margaret,LARCOMBE,gamekeeper
William,M,MUNDELL,John,REAKES,labourer,farmer,1739-11-03,Margaret,MUNDELL,master printer
Robert,M,CALVERT,Alexr,HENDELL,shoemaker,waterman,1738-04-25,Janet,CALVERT,asst parish overseer
Janet,F,HERNE,John,JONES,farmer,tanner,1740-04-28,Elizabeth,HERNE,ecclesiastical carver
Kate,F,DAFT,William,LUSCOMBE,railway ganger,thatcher,1744-04-28,Margaret,DAFT,mariner
Henry,M,LYNN,Hugh,LISLE,cabinet maker,pork butcher,1742-01-21,Isabella,LYNN,labourer
Margaret,F,BROCKLEHURST,David,WARNER,collier,coal miner,1745-08-22,Jane,BROCKLEHURST,bootmaker
Elizabeth,F,DOCKER,William,BYFORD,spinner,joiner,1750-01-09,Jessie,DOCKER,able seaman - royal navy
Mary,F,BRADLY,John,FERGUSON,tailor,secretary,1742-03-13,Elizabeth,BRADLY,shoemaker
James,M,HANSON,George,WEDGBURY,grocer,artificial limb maker,1744-09-25,Eliza,HANSON,dressmaker
Mary,F,SIMON,George,BROWN,soldier,thatcher,1738-01-07,Jessie,SIMON,gardener
John,M,WILL,George,BROWN,packer (in textile factory ),waitress,1745-07-03,Jessie,WILL,turner
Catherine,F,STONE,Thomas,MORGANS,cloth finisher,delver,1738-12-16,Elizabeth,STONE,labourer
Christina,F,GRAY,William,SHANKS,colliery checkweighman,servant,1739-12-28,Jane,GRAY,railwayman - stationmaster
Janet,F,RICHARDS,James,LITTLE,ag lab,baker,1744-07-29,Charlotte,RICHARDS,paper mill worker
Elizabeth,F,ROGERS,James,ELDRED,servant,"manager, tile factory",1738-11-09,Mary,ROGERS,carpenter
Mary,F,FLETCHER,Andrew,COOK,bleacher,shop assistant in greengrocer's,1740-02-13,Ann,FLETCHER,plasterer
William,M,PARKER,John,WILLIAM,plumber,inspector of munitions,1742-12-10,Isabella,PARKER,ropemaker
James,M,PARR,Donald,ATKINSON,tailor,farmer,1739-07-28,Agnes,PARR,cotton spinner
John,M,MILLER,George,YOUATT,labourer,lab,1741-06-10,Susan,MILLER,coachmaker
John,M,BEESE,Douglas,WALKER,pioneer,cordwainer,1748-11-18,Mary,BEESE,grocers shop assistant
Duncan,M,CHALLACOMBE,Charles,ROUND,labourer,teacher,1739-06-12,Margaret,CHALLACOMBE,farmer
Mary,F,GEORGE,Charles,CLOUGH,tenant farmer,shirt factory worker,1741-01-29,Eliza,GEORGE,labourer
Agnes,F,PHILLIPS,John,SHINN,textile worker,mariner,1744-09-08,Ellen,PHILLIPS,stoker
William,M,HOLDEN,Edward,JONES,sawyer,spirit dealer,1741-09-26,Maggie,HOLDEN,housekeeper
Donald,M,TUMIGAN,James,CHESHIRE,land agent,lab,1741-03-15,Alice,TUMIGAN,baker
Elizabeth,F,MORLEY,James,MCMURTRIE,cook and housekeeper,tax collector,1737-01-01,Barbara,MORLEY,labourer
Elizabeth,F,MARSHALL,Campbell,BROWN,domestic servant,rector,1745-11-22,Ellen,MARSHALL,tailor
John,M,ROBINSON,Andrew,GATLIFF,coalminer,farmer,1738-11-22,Susan,ROBINSON,farmer
Ellen,F,GRANT,John,PENNY,fisherman,glassmaker,1739-10-26,Betsy,GRANT,jeweller
Alex,M,DICKENSON,James,RISPIN,yeoman  farmer,"box tenter, woollen mill",1748-07-03,Martha,DICKENSON,yeoman
Stephen,M,OXLEE,Robert,DYSON,farmer and land owner,lab,1745-06-23,Rebecca,OXLEE,post office sorter
Janet,F,BARKER,Samuel,STEWART,grocer,warehouseman,1738-12-13,Christina,BARKER,shepherd
James,M,NICHOLAS,John,LEVINAY,cabinet maker,teacher,1738-10-25,Elizabeth,NICHOLAS,stonemason
William,M,MILNE,John,STACEY,ag lab,boot and shoe maker,1744-06-10,Jane,MILNE,engine fitter
Elizabeth,F,CRIMER,Robt,COOPER,carpet weaver,labourer,1747-01-16,Jane,CRIMER,tailoress
Martha,F,JONES,John,MACHRAY,labourer,printer,1737-05-25,Jane,JONES,free church minister
James,M,SCOTT,Alex,RAYNER,lab,lab,1741-12-27,Isabella,SCOTT,housekeeper
Jas,M,HOWATHS,Ed,SATCHWELL,cook,drapery salesman,1743-05-26,Maggie,HOWATHS,groom
Eliza,M,HAWKES,William,BELL,surgeon - royal army medical corp,toll bar keeper,1744-01-31,Margaret,HAWKES,mill worker
Janet,F,HARTLEY,William,YARLEY,labourer,labourer,1745-07-03,Jane,HARTLEY,farmer
Agnes,F,CLEMO,Charles,BROWN,ag lab,grocer,1741-02-14,Sarah,CLEMO,soldier
Isabella,F,WILLSON,James,BENNIE,turner,miller,1739-10-10,Cathrine,WILLSON,labourer
Jane,F,BROWN,James,TILLE,bricklayer,labourer,1739-12-19,Matilda,BROWN,cooper
Thomas,M,RAMSDEN,Will,WEBESTER,railway guard,master butcher,1739-06-01,Elen,RAMSDEN,engineer
Ann,F,BOWMAN,Hugh,TREDWIN,draper,clerk,1737-09-30,Jane,BOWMAN,wagoner
William,M,MARCH,George,CARPENTER,cork hawker,farmer,1745-07-11,Hannah,MARCH,miller
Isabell,F,HALL,Daniel,WOOD,forgeman,army officer,1746-05-12,Jane,HALL,boatman
Eliza,F,STIVEY,Edmund,LAWSON,butcher,gas works labourer,1741-07-16,Jane,STIVEY,gardener
Robert,M,ELLIS,Willm,WHITEHOUSE,butcher,carter,1739-09-01,Edith,ELLIS,brushmaker
Agnes,F,OFFLER,Charles,WELLS,labourer,miner,1745-07-03,Mary,OFFLER,fisherman
James,M,SKEAD,Alexander,PEPPERELL,tailor,broker,1738-08-27,Helen,SKEAD,tallow chandler
Robert,M,ORMISTON,Jas,EATCOAL,seaman,lorry driver,1742-06-29,Jane,ORMISTON,forrest steward
Jas,M,KING,John,FRANKHAM,clothiers asst,blacksmith,1745-01-17,Mary,KING,gent
Duncan,M,CHRISTOPHERS,John,PILGRIM,sailor,lab,1739-04-28,Betsy,CHRISTOPHERS,mariner
Adam,M,WOODHOUSE,James,MORRISON,woollen draper,smith,1739-04-17,Margaret,WOODHOUSE,chairmaker
Robert,M,LAW,Andrew,WHEELER,machinist in saw mill,farmer,1742-03-13,Mary,LAW,cook
Thomas,M,WILLCOX,William,MASTERS,farmer,papermill worker,1741-08-24,Semena,WILLCOX,cab man
Elizabeth,F,STOUT,Robert,JONES,labourer,gardener,1741-04-25,Ellen,STOUT,iron forgeman
John,M,WEST,John,MARCH,brickmaker,farmer,1739-03-17,Mary,WEST,colliery underlooker
Francis,M,TAYLOR,Matthew,DEWEY,frame work knitter,coal merchant,1748-03-08,Lizzie,TAYLOR,oven builder
Robert,M,STEPHENS,Wm,KNOW,riding master,secretary,1740-11-13,Janet,STEPHENS,cycle (shop) manager
Jane,F,HARRISON,Delilah,GLEAVE,coal miner,farm bailiff,1739-08-05,Catharine,HARRISON,domestic servant
Margaret,F,MORAN,Thomas,MCINNES,ships carpenter,husbandman,1743-07-11,Isabella,MORAN,ag lab
Mary,F,HALL,John,ALLCOCK,greengrocer,analytical chemist,1743-05-17,Jane,HALL,embosser
Maggie,F,ROBERTS,Samuel,FORRESTER,domestic cleaner,jeweller,1740-10-06,Christiana,ROBERTS,carrier
John,M,CHILD,Donald,PURDY,parish clerk,milliner,1761-09-27,Mary,CHILD,motor mechanic
Elizabeth,F,BOYCE,James,MOUNTFORD,policeman,master mariner,1742-12-22,Margret,BOYCE,civil servant - ministry of employment
Margaret,F,JENKINS,David,WINDLE,labourer,market gardener,1744-06-09,Catherine,JENKINS,servant
Janet,F,JENNINGS,James,BOND,engineer,ships officer,1741-06-08,Catherine,JENNINGS,basket maker
Agness,F,MCALLISTER,Adam,ATKIN,stonemason,cook and housekeeper,1749-07-02,Mary,MCALLISTER,servant
Jane,F,SUMMERS,Dugald,DUFF,labourer,lab,1740-10-20,Mary,SUMMERS,labourer
Jessie,F,EKINS,Robert,WALKER,mason,farmer,1741-04-16,Hannah,EKINS,market gardener
Ellen,F,EDWARD,Samuel,DAWSON,farmer,"builder, master (dockyards)",1738-07-28,Helen,EDWARD,joiner
George,M,VINCETT,Peter,WRIGHT,r.n.,carpenter,1750-10-30,Janet,VINCETT,carpenter
Eliza,F,HAWORTH,Morris,PHEAR,office worker,farmer,1744-05-30,Elsie,HAWORTH,bootmaker
Henry,M,OVENDEN,David,CRICK,grazier,butcher,1747-07-19,Jane,OVENDEN,labourer
John,M,TRUEMAN,Henry,NEWTON,ag lab,copper kettle maker,1743-08-27,Mary,TRUEMAN,engineer
Josiah,M,TAYLOR,John,MASLIN,mason,clerk,1744-04-04,Sarah,TAYLOR,locksmith
Mark,M,JOHNSTON,Alexander,WOOD,civil engineer,mariner,1738-10-31,Mary,JOHNSTON,farm servant
Fortuna,F,WEDLOCK,John,DUDLEY,clay tobacco pipe maker,labourer,1746-02-09,Agnes,WEDLOCK,man servant
Sarah,F,DAUKES,James,REDFORDS,carter,gardener,1741-04-05,Anne,DAUKES,fisherman
Mary,F,SUNDERLAND,Alexander,FRESHWATER,farm lab,brass moulder,1743-01-21,Margaret,SUNDERLAND,grazier
Jessie,F,BRADFORD,John,REEVE,sub post master,dock foreman,1740-07-21,Ann,BRADFORD,joiner
Euphemia,F,HADLEY,Hugh,OLDEN,joiner,linen drapers assistant,1745-12-27,Margaret,HADLEY,labourer
Mary,F,SAUNDERS,George,SHERATON,shoemaker,butcher,1746-04-22,Ann,SAUNDERS,dressmaker
Elizabeth,F,WALLER,Robert,WHITTAKER,hawker,miner,1745-10-01,Mary,WALLER,engineman
May,F,PINNELL,George,HIGHAM,labourer,builder,1743-04-25,Helen,PINNELL,farm lab
Pat,M,BOYLE,Hector,WATON,iron works manager,labourer,1744-04-21,Agnes,BOYLE,builder
Yergen,M,SAUNDERSON,William,WETHERELL,mariner,farm labourer,1739-10-08,Mary,SAUNDERSON,weaver
Janet,F,RIEVERTS,Harvey,COOKMAN,servant,farmer,1747-06-03,Annie,RIEVERTS,french polisher
John,M,QUARLE,James,BARRETT,farm labourer,laundress,1746-09-08,Mary,QUARLE,"coal miner, supervisor"
George,M,HAWES,Jas,SUTHERLAND,cork hawker,blacksmith,1747-02-06,Jessie,HAWES,diamond setter
